batterId,playerId,name
430905,430905,"Gotay, Ruben (430905)"
430906,430906,"Murphy, Donald (430906)"
430910,430910,"Pena, Brayan (430910)"
430925,430925,"Jennings, Jeffrey (430925)"
430927,430927,"Buscher, Brian (430927)"
430930,430930,"Lewis, Frederick (430930)"
430943,430943,"Oliveros, Luis (430943)"
430944,430944,"Jacobsen, Larry (430944)"
430945,430945,"Jones, Adam (430945)"
430946,430946,"Lopez, Jose (430946)"
430947,430947,"Aybar, Erick (430947)"
430948,430948,"Callaspo, Alberto (430948)"
430951,430951,"Gorneault, Nicholas (430951)"
430952,430952,"Perez, Miguel (430952)"
430957,430957,"Snyder, Bradley (430957)"
430958,430958,"Rabelo, Michael (430958)"
430961,430961,"Maldonado, Carlos (430961)"
430965,430965,"Snyder, Christopher (430965)"
430971,430971,"Reed, Eric (430971)"
431138,431138,"Rodriguez, John (431138)"
431143,431143,"Bellorin, Edwin (431143)"
431153,431153,"Acuna, Ronald (431153)"
431156,431156,"French, Anton (431156)"
431157,431157,"Gathright, Joey (431157)"
431160,431160,"Knott, Jonathan (431160)"
431165,431165,"Lundberg, David (431165)"
431166,431166,"Pagnozzi, Matthew (431166)"
431167,431167,"Broadway, Larry (431167)"
431170,431170,"Reyes, Jose (431170)"
431171,431171,"McGehee, Casey (431171)"
432928,432928,"Scott, Luke (432928)"
433217,433217,"Blanco, Andres (433217)"
433297,433297,"Figueroa, Luis (433297)"
433582,433582,"Jackson, Conor (433582)"
433583,433583,"Majewski, Walter (433583)"
433590,433590,"Cota, Jesus (433590)"
433591,433591,"Guzman, Irvin (433591)"
433592,433592,"Blanco, Tony (433592)"
433593,433593,"Cortes, Jorge (433593)"
433595,433595,"Thomas, Charles (433595)"
433636,433636,"Hernandez, Hector (433636)"
433697,433697,"Diaz, Robinzon (433697)"
433715,433715,"Orrantia, Carlos (433715)"
433876,433876,"Gavia, Jesus (433876)"
434498,434498,"Weber, Jonathan (434498)"
434525,434525,"Nelson, Bradley (434525)"
434540,434540,"Jones, Garrett (434540)"
434562,434562,"Roberson, Christopher (434562)"
434563,434563,"Ruiz, Carlos (434563)"
434567,434567,"Soto, Geovany (434567)"
434582,434582,"McAnulty, Paul (434582)"
434598,434598,"Negron, Miguel (434598)"
434601,434601,"Lopez, Pedro (434601)"
434604,434604,"Morse, Michael (434604)"
434605,434605,"Balentien, Wladimir (434605)"
434624,434624,"Nix, Jayson (434624)"
434625,434625,"Salazar, Jeffrey (434625)"
434626,434626,"Shealy, Ryan (434626)"
434631,434631,"Garrett, Shawn (434631)"
434633,434633,"Baker, John (434633)"
434634,434634,"Perry, Jason (434634)"
434635,434635,"Concepcion, Ambiorix (434635)"
434658,434658,"Davis, Rajai (434658)"
434659,434659,"Duffy, Christopher (434659)"
434660,434660,"Eldred, Bradley (434660)"
434664,434664,"Botts, Jason (434664)"
434670,434670,"Ramirez, Hanley (434670)"
434681,434681,"Orr, Peterson (434681)"
434682,434682,"Hernandez, Luis (434682)"
434698,434698,"Gorecki, Reid (434698)"
434703,434703,"Myrow, Brian (434703)"
434704,434704,"Young, Delwyn (434704)"
434778,434778,"Morales, Kendrys (434778)"
434918,434918,"Cordido, Julio (434918)"
434938,434938,"Herrera, Javier (434938)"
434939,434939,"Garko, Ryan (434939)"
435038,435038,"Hernandez, Anderson (435038)"
435041,435041,"Quentin, Carlos (435041)"
435042,435042,"Anderson, Brian (435042)"
435045,435045,"Santos, Sergio (435045)"
435064,435064,"Wilson, Robert (435064)"
435065,435065,"Willits, Reggie (435065)"
435078,435078,"Arias, Joaquin (435078)"
435079,435079,"Kinsler, Ian (435079)"
435081,435081,"Nickeas, Michael (435081)"
435139,435139,"Palmisano, Louis (435139)"
435158,435158,"Yabu, Keiichi (435158)"
435180,435180,"Andino, Robert (435180)"
435182,435182,"Padgett, Matthew (435182)"
435219,435219,"Hannahan, John (435219)"
435220,435220,"Sweeney, Ryan (435220)"
435222,435222,"Fields, Joshua (435222)"
435238,435238,"Molina, Gustavo (435238)"
435358,435358,"Betancourt, Yuniesky (435358)"
435402,435402,"Maza, Luis (435402)"
435405,435405,"Cosme, Caonabo (435405)"
435408,435408,"Santos, Omir (435408)"
435459,435459,"Kottaras, George (435459)"
435498,435498,"Perez, Kenny (435498)"
435501,435501,"Sandoval, Danny (435501)"
435520,435520,"Flores, Jesus (435520)"
435522,435522,"Walker, Neil (435522)"
435539,435539,"Owens, Jerry (435539)"
435558,435558,"Barton, Daric (435558)"
435560,435560,"Quintanilla, Omar (435560)"
435562,435562,"Robnett, Richard (435562)"
435622,435622,"Desmond, Ian (435622)"
435623,435623,"Frandsen, Kevin (435623)"
435624,435624,"Bowker, John (435624)"
435625,435625,"Schierholtz, Nathan (435625)"
435862,435862,"Leon, Donny (435862)"
435954,435954,"Davis, Gerrod (435954)"
436012,436012,"Sanchez, Danilo (436012)"
436022,436022,"Leon, Brigmer (436022)"
436388,436388,"Jacobs, Gregory (436388)"
436724,436724,"Burnham, Gary (436724)"
436913,436913,"Decaster, Yurendell (436913)"
437031,437031,"Flores, Miguel (437031)"
437905,437905,"Nettles, Jeffrey (437905)"
438463,438463,"Smith, Demond (438463)"
439013,439013,"Adriana, Sharnol (439013)"
439218,439218,"Rodriguez, Victor (439218)"
439256,439256,"Rios, Brian (439256)"
439421,439421,"Freire, Alejandro (439421)"
439504,439504,"Foster, Quincy (439504)"
439664,439664,"Lindsey, John (439664)"
439849,439849,"Rios, Fernando (439849)"
439904,439904,"Quintana, Wilfredo (439904)"
440026,440026,"Velazquez, Jose (440026)"
440148,440148,"Langaigne, Selwyn (440148)"
440251,440251,"Roberts, Ryan (440251)"
440351,440351,"Feliciano, Jesus (440351)"
440361,440361,"Hopper, Norris (440361)"
440803,440803,"Colina, Javier (440803)"
440918,440918,"Mendez, Victor (440918)"
440924,440924,"Camacaro, Armando (440924)"
441067,441067,"Bolivar, Cesar (441067)"
441221,441221,"Mathis, Joe (441221)"
441451,441451,"Ramirez, Victor (441451)"
441932,441932,"Suarez, Luis (441932)"
442009,442009,"Candelaria, Benjamin Jr (442009)"
442146,442146,"Washington, Enrico (442146)"
442434,442434,"Nava, Lipso (442434)"
443233,443233,"Guerrero, Sergio (443233)"
443402,443402,"Morales, Stephen (443402)"
443432,443432,"Williams, Clyde (443432)"
443545,443545,"Laya, Rayner (443545)"
443554,443554,"Franco, Iker (443554)"
443558,443558,"Cruz, Nelson (443558)"
443559,443559,"Madera, Sandy (443559)"
444041,444041,"Velazquez, Gilbert (444041)"
444100,444100,"Gutierrez, Jesse (444100)"
444107,444107,"Harper, Brett (444107)"
444125,444125,"Wilson, Michael (444125)"
444379,444379,"Jaso, John (444379)"
444384,444384,"Colonel, Christian (444384)"
444422,444422,"Buttler, Victor (444422)"
444430,444430,"Toregas, Wyatt (444430)"
